,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
17,-10.520782,-0.46056,-0.272988,0.339973,9.271774,16.351421,17.78104,15.199768,2.733753,27.878425,45.807861,55.736366,-6.339936,22.451786,42.093132,55.748039,-13.273281,10.814403,30.3097,41.977386,-17.976689,-14.635964,-9.319725,-4.791218,-10.245702,-2.635865,13.251058,26.771941,10.691331,32.300122,39.227098,40.898249,24.700474,44.895699,51.869149,52.339711,34.457545,51.789243,56.768648,57.745342,42.353212,56.247537,62.677928,66.460017,27.043007,52.380043,75.616676,96.11673,49.573689,80.792931,97.430077,109.285744,39.427769,75.341835,95.197678,108.021172,30.203808,63.299206,81.650551,93.725647,22.302246,46.345848,61.437985,73.866165,-13.073896,-13.4268,-6.485276,-1.330536,17.471871,35.114693,42.215607,46.480498,34.834074,51.164637,57.926703,60.499793,46.563837,63.983097,69.417182,70.025584,53.385219,70.333744,74.879686,74.544455,-21.639599,299.731584,-68.347859,294.833579
18,-0.485161,0.699583,-0.124088,0.170962,9.58326,17.386619,20.553211,19.379539,2.984642,29.06591,47.229355,57.424873,-5.870316,23.883648,44.014961,58.262878,-12.541832,12.416325,32.035469,43.79377,-16.859585,-12.38118,-6.702473,-2.045082,-10.822463,-4.174426,10.181803,22.628784,10.339798,31.672379,38.085246,39.656028,24.744366,45.147727,51.47129,51.818624,34.626383,52.039197,56.468652,57.363848,42.310246,56.746529,62.390307,65.415435,27.370079,52.741344,75.985233,96.310238,49.755249,81.017704,97.870525,109.987827,39.702816,75.671986,95.795803,109.051609,30.57082,63.615898,82.097454,94.372043,22.687637,46.753303,61.888893,74.359119,-13.019988,-13.506297,-6.717827,-1.580576,17.432265,34.761172,41.92974,46.300829,34.671732,50.95003,57.868361,60.610018,46.386033,63.71405,69.391396,70.160448,53.293829,70.147665,74.810044,74.475208,-22.292232,300.379673,-68.639419,294.953047
19,4.665035,3.155619,-0.04723,-0.6014,8.311146,15.423443,17.997585,16.329128,-1.167549,24.750492,43.541371,54.572605,-10.325775,18.372608,38.469876,53.262348,-16.523655,5.780056,23.205494,33.879502,-20.072719,-16.855373,-12.336113,-8.526455,-12.446635,-9.465387,1.08435,11.224521,7.512395,28.132957,34.717576,36.673545,22.669404,41.862321,47.851617,48.064779,33.05481,49.327514,53.461654,54.41471,40.951737,54.711384,59.258795,61.448193,27.490654,53.11908,76.393959,96.586189,49.238365,80.585655,97.78656,110.187698,39.241596,75.534714,96.180496,109.923294,30.23687,63.614159,82.17762,94.23674,22.622944,47.038044,62.135376,74.172363,-12.880432,-13.154369,-6.365689,-1.412911,16.605761,34.398117,42.282879,47.392589,33.826765,50.843178,58.403219,61.881274,45.743915,63.460738,69.168699,69.974431,52.970022,69.872543,74.377038,73.821704,-17.844624,303.502058,-68.904076,294.318413
20,2.836899,2.303068,0.844483,-1.981237,5.743,12.18734,15.912529,15.596992,-5.512539,17.06599,33.518955,43.279541,-12.864327,11.257336,28.274563,40.505905,-16.956379,0.576359,14.399219,22.471172,-18.191231,-16.343948,-13.559292,-11.757683,-13.264396,-12.859869,-5.042366,3.5464,4.871589,22.329752,29.266336,32.323117,20.071268,36.814151,44.001911,46.004403,30.778431,45.622217,50.616047,52.64766,38.868525,51.771928,56.48309,59.212063,27.464241,53.470905,76.150497,95.582038,47.522621,77.527061,94.47203,106.887176,37.709953,72.569355,92.689727,106.300415,28.779865,60.21873,77.115909,87.633888,21.086483,43.358345,56.305274,65.726303,-13.798154,-13.877985,-6.405259,-0.746958,13.623759,31.590597,40.663486,47.109562,31.155689,49.387374,58.191081,63.141192,43.803383,62.81352,69.854413,72.148811,51.811584,69.359878,74.554298,74.618642,-15.244366,305.807769,-68.296234,292.339819
21,9.601593,2.316666,1.862411,-6.874834,2.343384,4.873672,6.673176,6.885555,-12.78146,-1.062275,9.122887,14.876209,-18.349628,-7.027931,2.769356,11.290752,-21.126766,-14.340271,-7.276497,-3.264542,-21.232269,-25.874313,-28.262627,-30.253738,-20.940924,-26.885784,-25.352027,-20.902885,0.492422,16.41216,23.353326,26.558284,19.295793,36.240674,42.800828,44.477253,32.759828,48.108745,52.409896,53.89608,42.643056,55.991963,61.097957,63.706838,26.361076,51.312069,71.118382,87.53389,48.794312,73.110947,85.414787,93.678143,39.379601,67.538509,80.912212,88.433865,29.663189,54.541283,65.006001,70.217835,20.434994,38.524773,47.24889,52.575165,-8.983413,-5.079873,5.600763,13.79808,15.387548,37.516735,49.809327,58.590322,29.5772,52.575771,64.564366,71.648484,40.550582,63.17655,73.105498,77.521369,47.860781,67.334675,74.356413,76.471562,-5.867437,308.203093,-66.658487,285.543643
22,17.483505,-3.062388,-0.588501,-15.735647,-6.83567,-12.932888,-16.91241,-20.161148,-29.990455,-30.159336,-25.573059,-22.643795,-31.499874,-33.654613,-30.256016,-25.764324,-29.900333,-34.844238,-34.103428,-33.622844,-25.951252,-35.75655,-40.753029,-44.617607,-18.562483,-23.699302,-21.411314,-16.794655,5.183304,20.799502,28.419762,32.705327,23.026987,39.848022,47.282907,50.276012,35.504313,51.021475,56.469158,59.274072,44.142096,58.311556,63.656696,66.490348,27.440907,53.143158,72.837902,85.385376,49.919003,73.054939,81.470787,85.47234,40.634846,66.787983,75.741051,78.797241,30.953407,54.101864,60.928219,61.879063,21.539646,39.107769,45.741703,47.792404,-8.536377,-4.276402,6.979896,17.026342,14.341063,36.638606,47.049009,54.372596,27.86202,50.876572,60.695332,66.807931,38.761425,60.7288,68.760071,72.528872,46.416364,64.75988,70.649622,72.656028,11.445476,305.23509,-67.41758,269.902381
23,16.987004,-3.261386,-1.986374,-22.52024,-16.14473,-30.349835,-41.03698,-48.691636,-45.322712,-57.415547,-59.385956,-60.352295,-42.970494,-58.043095,-62.276597,-63.614994,-37.350243,-53.549984,-59.944142,-64.130448,-29.816014,-45.250042,-53.486779,-59.95625,-16.51038,-20.088829,-15.734153,-10.003122,9.327622,24.884922,33.225192,38.539025,26.105518,42.62794,51.284063,55.93193,37.77521,53.654489,60.433486,64.356552,45.656427,60.249297,66.329366,70.05052,27.665543,53.102394,71.888477,81.479107,52.58907,74.163506,77.54718,77.0163,44.467667,67.410519,70.516297,68.807007,35.125797,55.446236,56.911263,53.364762,25.472443,41.104225,44.267098,42.864796,-2.56752,2.508932,10.774731,17.727728,12.532629,29.912567,38.711383,45.581092,19.240589,37.335584,45.862241,52.43414,24.699967,41.560621,48.620694,53.2911,28.329731,40.905227,45.624724,48.419807,28.17021,302.318698,-69.666224,247.727135
24,8.141464,-4.814679,-0.946598,-31.026507,-22.456215,-41.462643,-55.151104,-64.704621,-51.780052,-73.709587,-82.982094,-89.149761,-45.339764,-70.467568,-82.110157,-89.706757,-36.4991,-59.986256,-71.502674,-79.651028,-26.331471,-44.54377,-54.777443,-63.354904,-14.941747,-15.438616,-7.529858,0.037952,13.313302,29.065437,37.955261,44.157855,29.537371,47.376558,56.908266,62.961263,40.91607,58.376443,66.215609,71.050876,48.19774,64.261653,71.357442,75.957737,28.201069,51.614525,67.288193,72.845924,50.710053,67.713719,68.0793,64.678722,42.743591,59.806183,59.129265,54.23132,33.561527,49.183125,47.863358,42.338997,24.02227,36.302239,37.354351,34.161266,-1.054301,1.430288,6.254311,10.662456,1.95098,11.924598,17.282743,21.65206,5.074643,15.236587,20.399033,24.980265,8.379902,18.026551,22.852482,26.776591,11.368257,17.700385,20.491813,22.688781,35.779295,297.999022,-71.145201,217.195631
25,8.356865,-3.569088,-3.021137,-36.378828,-27.15239,-50.015522,-67.863991,-80.635918,-56.489319,-84.817921,-98.351498,-107.714196,-48.041142,-79.524319,-95.615227,-106.490399,-37.672371,-66.138977,-81.552029,-92.452767,-26.569176,-47.675354,-59.947174,-70.024727,-14.978451,-14.050478,-4.273795,4.075565,17.198231,35.253484,44.208133,50.308852,33.621642,53.502138,62.269659,67.803225,44.805939,63.695711,71.369163,76.117906,51.417914,68.712364,75.743822,80.108464,28.514522,49.844673,62.273002,62.177296,48.146175,60.127476,57.240188,51.020576,39.053947,49.507015,45.547039,38.215668,29.204132,41.84198,39.651512,33.458427,20.019722,31.946079,33.591911,30.806557,-1.325399,-3.051144,-3.341988,-3.409543,-13.977929,-13.962343,-14.635064,-15.020634,-13.907484,-14.466455,-14.704379,-14.204911,-11.463433,-7.816794,-3.515414,-0.080696,-7.419053,-4.926578,-1.896819,1.102609,43.637787,294.918698,-74.664711,181.305567
26,3.535812,-3.145862,-3.555439,-39.668755,-28.362968,-52.327022,-72.354824,-87.728439,-57.707714,-86.697292,-101.121517,-111.618839,-48.855778,-80.667114,-97.83902,-110.800472,-38.05172,-67.540054,-84.13829,-96.362343,-26.659767,-49.462807,-62.273701,-73.209881,-13.310733,-8.700547,6.8529,18.652478,18.683526,37.585092,47.066016,54.0428,34.806645,54.247885,63.983035,71.07402,46.017543,64.532145,73.401443,79.663429,52.858279,69.59984,77.003023,82.330528,28.997703,48.794197,59.124756,55.861542,40.237896,50.544342,48.191276,43.168613,29.268642,38.174126,37.101002,33.410786,19.340195,34.139133,37.425991,35.216972,11.358135,24.868446,29.976024,29.685608,-7.330917,-17.623111,-25.911801,-31.845954,-35.152182,-49.273198,-57.981581,-64.618571,-34.465542,-50.12142,-58.55213,-63.384168,-30.751718,-36.311225,-32.295256,-28.28243,-24.726329,-29.172889,-26.253886,-22.989629,46.715383,292.285121,-78.678366,142.149097
27,1.089867,-0.25146,-0.811695,-38.218343,-28.784203,-52.513436,-72.673325,-88.608925,-57.892903,-86.938385,-101.537487,-112.434609,-49.182701,-80.870476,-98.00988,-111.376717,-38.583641,-68.119515,-84.649704,-97.027909,-27.308716,-50.401039,-63.247135,-74.281483,-13.458132,-8.745143,6.837586,18.51102,18.526062,37.527738,46.998127,54.255629,34.612304,53.642657,63.433988,70.950507,45.860006,64.160098,73.17041,79.716102,52.739965,69.327188,76.827281,82.37216,26.555614,42.229488,47.04919,41.081165,30.895317,34.720814,31.854103,27.582779,18.348896,20.603828,19.571857,17.362221,7.398491,19.369343,25.26186,25.746128,-0.920254,10.979427,17.506222,18.782913,-8.782594,-24.535353,-38.370014,-49.838974,-54.043479,-78.154742,-89.928947,-99.130468,-55.314494,-81.370747,-93.098416,-100.593298,-51.550843,-61.971392,-53.390135,-45.970372,-44.393279,-52.407538,-46.562756,-40.749548,47.415293,292.589702,-79.880018,104.486795
28,-0.259209,-0.558125,-0.496994,-34.364259,-29.002693,-52.557163,-72.501743,-88.621937,-57.78883,-86.500717,-100.980503,-111.882408,-49.008911,-80.42815,-97.482582,-110.849842,-38.394791,-67.77277,-84.233311,-96.638683,-27.023941,-50.044922,-62.92456,-74.028969,-13.22637,-8.292117,7.276767,18.765111,18.728925,37.783064,47.394491,54.760969,34.808769,53.852609,63.636702,71.053495,46.036847,64.330715,73.356106,79.954681,52.83143,69.38511,76.907557,82.526684,25.079876,37.262798,36.895614,27.296928,20.118553,18.436283,16.385547,13.123604,5.329113,2.734474,3.006237,2.127113,-6.843476,2.729301,12.979751,16.878147,-15.5247,-5.128647,4.659164,8.718693,-17.990772,-39.613346,-55.437704,-67.433296,-72.929731,-101.04738,-116.814736,-130.052005,-69.960981,-100.723246,-117.319342,-129.678996,-60.919757,-73.4657,-62.222827,-52.840741,-48.320951,-56.810101,-49.109936,-41.809919,46.860832,292.490512,-80.672264,70.581471
29,-0.153671,-0.030134,-1.308552,-31.903084,-29.010132,-52.412293,-72.247879,-88.295334,-57.488331,-86.161572,-100.627213,-111.519036,-48.663117,-80.12059,-97.125756,-110.405102,-38.083328,-67.459751,-83.899475,-96.254391,-26.787667,-49.843941,-62.726807,-73.757206,-13.193136,-8.298947,7.23332,18.711783,18.459779,37.500371,47.174882,54.604728,34.5426,53.676286,63.480461,70.91379,45.799675,64.13751,73.175041,79.839726,52.613883,69.224175,76.672498,82.241224,23.014194,33.527836,30.461082,18.594463,14.136578,9.679195,6.434063,2.630848,-1.84869,-7.159229,-7.96637,-9.227325,-14.965107,-6.511494,5.702465,10.936741,-24.482883,-13.874863,-2.033295,3.47089,-20.22838,-44.675985,-62.070403,-74.460259,-80.396771,-111.151045,-129.512289,-145.205838,-76.538753,-110.229531,-130.001009,-145.395044,-65.590461,-78.342143,-63.18459,-50.590081,-51.232212,-59.218769,-48.44184,-38.111966,46.638079,292.933185,-82.049898,39.151194
30,0.049759,-0.169097,0.435963,-27.731604,-28.799172,-52.11549,-71.828522,-87.855904,-57.18219,-85.900521,-100.407395,-111.246231,-48.346894,-79.796059,-96.789574,-109.977768,-37.727417,-67.109402,-83.577839,-95.883271,-26.383026,-49.529801,-62.424477,-73.42273,-13.136388,-8.215769,7.368553,18.82276,18.206899,37.291333,47.024037,54.574174,34.245457,53.430495,63.323417,70.858844,45.504965,63.857299,73.020306,79.825152,52.383887,69.02088,76.487123,82.070558,21.322883,29.571544,24.114727,11.861309,9.860813,4.881305,1.30878,-2.637555,-6.250054,-11.493176,-12.906887,-14.688137,-19.49897,-11.553887,2.189644,8.734336,-29.748745,-19.92334,-6.825016,0.237648,-20.090423,-46.053396,-64.182032,-76.092767,-80.473761,-110.913781,-130.043892,-147.016153,-76.622307,-110.557425,-132.47382,-150.074805,-65.697134,-81.057895,-64.837988,-50.428536,-51.740065,-62.926733,-52.411366,-41.283016,46.209544,293.259725,-82.092229,11.915227
31,0.48191,-0.019761,0.439693,-22.183743,-28.730186,-52.053051,-71.687095,-87.716365,-56.892242,-85.603386,-100.196319,-111.05413,-48.063148,-79.469879,-96.470935,-109.674602,-37.442573,-66.817543,-83.315368,-95.64252,-26.069206,-49.26931,-62.148662,-73.104263,-13.228815,-8.310864,7.432638,18.965664,17.984055,37.12073,46.89293,54.457738,34.031418,53.222656,63.13256,70.732998,45.323889,63.605592,72.857224,79.814903,52.272762,68.866839,76.401241,82.070275,20.490933,27.167656,20.427075,7.92263,7.846962,3.011295,-0.489818,-4.467613,-7.878628,-12.820015,-14.761562,-17.051823,-21.01767,-14.138523,-0.357731,6.776939,-31.447231,-22.385342,-8.860599,-0.783646,-19.419294,-46.118431,-64.473006,-76.60803,-79.860357,-109.797188,-129.624205,-147.308627,-76.032368,-109.371524,-132.350714,-151.494138,-64.862664,-81.838895,-66.148406,-51.612964,-50.731996,-63.297266,-53.816052,-42.812481,45.943559,293.753165,-82.400431,-9.755315
